zona_id,area_km2,n_pixels,centroid_lat,centroid_lon,bbox_minr,bbox_minc,bbox_maxr,bbox_maxc
1163,2.237333,2523.000000,-4.331994,-74.804140,15886,17303,15995,17411
3692,2.235559,2521.000000,-9.795141,-70.823353,36160,32112,36255,32183
3755,2.235559,2521.000000,-9.935172,-75.658066,36673,14142,36775,14261
631,2.232899,2518.000000,-3.805384,-76.454864,13764,11212,14116,11328
1138,2.232012,2517.000000,-4.313377,-76.272541,15817,11874,15902,11975
4678,2.232012,2517.000000,-12.298408,-69.258535,45425,37913,45581,37979
2937,2.231126,2516.000000,-7.955139,-74.323387,29312,19065,29453,19236
5348,2.229352,2514.000000,-13.944840,-69.687242,51510,36312,51670,36415
1051,2.228465,2513.000000,-4.222278,-76.465782,15475,11155,15591,11285
3104,2.226692,2511.000000,-8.341884,-74.044539,30767,20148,30861,20223
62,2.225805,2510.000000,-1.416061,-73.572587,4978,21860,5196,22013
4421,2.224918,2509.000000,-11.641442,-71.642113,42896,29055,43209,29204
4278,2.224031,2508.000000,-11.249360,-71.028943,41567,31315,41656,31438
4677,2.222258,2506.000000,-12.298991,-73.494319,45425,22095,45544,22389
5136,2.220484,2504.000000,-13.076586,-72.797966,48342,24761,48418,24871
596,2.218711,2502.000000,-3.704951,-70.724983,13528,32475,13659,32533
1513,2.218711,2502.000000,-4.742863,-77.208682,17392,8396,17523,8507
3394,2.218711,2502.000000,-9.065387,-74.658254,33447,17854,33526,17957
5406,2.217824,2501.000000,-14.194133,-69.245662,52486,37924,52576,38072
1720,2.216937,2500.000000,-5.019155,-75.800113,18458,13609,18502,13733
